Age,Gender,state,family_history,treatment,remote_work,Company Size,benefits,care_options,wellness_program,seek_help,anonymity,leave,coworkers,supervisor,mental_health_consequence,mental_health_interview,phys_health_consequence,phys_health_interview,mental_vs_physical,obs_consequence
43,M,AL,Yes,Yes,No,Large,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Don't know,Yes,Yes,No
24,M,AL,No,Yes,No,Medium,Yes,Yes,No,No,Don't know,Don't know,Yes,Don't know,No,No,,No,,
45,M,AL,No,No,Yes,Medium,Don't know,No,No,Don't know,Don't know,Don't know,No,No,Don't know,No,Yes,No,Don't know,Yes
41,M,AL,Yes,Yes,No,Large,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Don't know,No,No,No,Yes,Yes
40,M,AK,Yes,No,Yes,Medium,Yes,No,No,Don't know,Don't know,Don't know,Yes,Yes,Don't know,No,No,No,Yes,No
38,M,AK,No,No,Yes,Medium,Yes,No,Don't know,Yes,Yes,Yes,Yes,Yes,No,No,Don't know,No,No,Yes
30,M,AZ,Yes,No,No,Medium,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No
53,M,AZ,No,No,Yes,Medium,Yes,No,No,Yes,Don't know,Don't know,Yes,Yes,No,Yes,No,Yes,Yes,No
24,M,AZ,No,No,No,Large,No,No,No,No,Don't know,Don't know,Yes,Don't know,Don't know,No,,No,,
36,M,AZ,No,No,No,Large,No,Don't know,No,Don't know,Don't know,Don't know,No,No,Don't know,No,Don't know,No,Don't know,No
51,M,CA,No,Yes,No,Small,Yes,Don't know,No,Don't know,No,No,Don't know,Yes,No,No,No,Don't know,Yes,Yes
43,F,CA,Yes,No,No,Small,No,Don't know,No,No,Don't know,Don't know,No,Yes,No,No,Yes,No,No,Yes
22,M,CA,Yes,No,No,Small,No,No,No,No,No,No,No,No,Yes,No,,No,,
37,F,CA,No,Yes,Yes,Small,Yes,Yes,No,No,Yes,Yes,Yes,Don't know,No,No,No,No,Yes,Yes
27,M,CA,Yes,No,No,Small,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Don't know,Yes,Don't know,Yes,Yes,Yes
27,M,CA,Yes,Yes,No,Small,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Don't know,No
20,F,CA,Yes,Yes,No,Small,Yes,Yes,No,No,Don't know,Don't know,No,No,Yes,No,No,No,Yes,Yes
32,M,CA,No,Yes,No,Small,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Don't know,No,Don't know,No,Yes,Yes
24,F,CA,Yes,Yes,No,Small,No,No,No,No,Don't know,Don't know,No,No,Yes,No,No,Yes,No,Yes
44,M,CA,Yes,Yes,Yes,Small,No,Don't know,Yes,No,Don't know,Don't know,No,Don't know,Don't know,No,No,No,No,Yes
28,M,CA,Yes,Yes,No,Small,Don't know,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,Don't know,No,,Don't know,,
33,F,CA,Yes,Yes,No,Small,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Don't know,Yes,Yes
26,M,CA,Yes,Yes,No,Large,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,Don't know,No,No,No,Yes,Yes,No
28,F,CA,Yes,Yes,No,Large,Yes,Yes,No,No,Don't know,Don't know,No,Yes,Don't know,No,No,No,Don't know,No
35,M,CA,Yes,Yes,No,Large,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Don't know,Don't know,Yes,Yes,Yes
37,M,CA,No,No,No,Large,Yes,No,No,Don't know,Don't know,Don't know,Yes,Yes,Don't know,Don't know,,Yes,,
41,F,CA,No,No,No,Large,Yes,Yes,No,Yes,Don't know,Don't know,Yes,No,Don't know,No,,Yes,,
34,F,CA,Yes,Yes,No,Large,Yes,Yes,Don't know,Yes,Yes,Yes,No,Yes,No,No,No,Don't know,Yes,Yes
35,M,CA,No,No,No,Large,Don't know,No,No,Don't know,Don't know,Don't know,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,No
29,F,CA,Yes,Yes,No,Large,Yes,Yes,No,Yes,Don't know,Don't know,No,No,Don't know,No,,No,,
